name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2014-06-19,84.2,82.4,83.7,100.7,92.4,98.2,81.4,93,0.315,100,8.33,rain,,,,6.9,189.7,995.3,94.1,1.3,121.3,10.4,4,,2014-06-19T04:52:19,2014-06-19T18:23:18,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-20,89.6,80.6,83.1,108.1,88.1,94.6,79.9,90.3,0.236,100,8.33,rain,,,,8.1,213.5,994.7,83.5,1.9,101.9,8.9,4,,2014-06-20T04:52:30,2014-06-20T18:23:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-21,82.4,80.6,81.3,94.1,87.1,90,79,92.7,0.275,100,8.33,rain,,,,13.9,216.5,997.2,90.9,1.8,108.6,9.5,4,,2014-06-21T04:52:43,2014-06-21T18:23:46,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-22,91.4,80.6,85.8,108.1,87.1,99.8,79.8,83,0.275,100,8.33,rain,,,,10.3,207.9,998.7,86.9,1.7,99.8,8.5,3,,2014-06-22T04:52:56,2014-06-22T18:23:58,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-23,93.2,82.4,88.1,122.7,94.1,108.6,82.5,84.1,0,0,0,,,,,8.1,186.5,997.7,88.3,1.7,125.9,10.9,4,,2014-06-23T04:53:10,2014-06-23T18:24:10,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-24,89.6,82.4,84.9,115.2,92.3,100.3,80.8,87.6,0,0,0,,,,,11.4,150.2,996.3,76,1.9,129.5,11.1,4,,2014-06-24T04:53:24,2014-06-24T18:24:20,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-06-25,93.2,78.8,83.8,121.1,78.8,96.3,80.1,88.9,1.181,100,4.17,rain,,,,13.9,150.1,998,89.7,1.7,159.7,13.8,5,,2014-06-25T04:53:40,2014-06-25T18:24:30,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-26,89.6,80.6,84.9,108.1,88.1,98.7,80.1,86.2,0.012,100,4.17,rain,,,,11.4,133.1,1001,80.9,1.7,202.2,17.4,7,,2014-06-26T04:53:56,2014-06-26T18:24:39,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-27,89.6,82.4,84.9,105.2,94.1,98.9,80.1,85.9,0.039,100,4.17,rain,,,,9.2,145.5,1003.1,72.8,2.2,244.6,21.1,8,,2014-06-27T04:54:12,2014-06-27T18:24:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-28,93.2,80.6,85.8,113.5,88.1,100.8,80.6,85.2,0.984,100,4.17,rain,,,,9.2,150.3,1001.3,74.1,2.3,271.9,23.6,8,,2014-06-28T04:54:30,2014-06-28T18:24:54,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-29,93.2,78.8,84.6,117.1,78.8,98.3,80.7,88.6,1.496,100,4.17,rain,,,,10.2,187.3,999.3,81.4,1.9,114.2,9.8,4,,2014-06-29T04:54:48,2014-06-29T18:25:00,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-06-30,87.8,78.8,83.4,102.4,78.8,93,78.8,86.5,0.118,100,4.17,rain,,,,5.8,167.1,999,84.2,1.7,105.2,9.1,4,,2014-06-30T04:55:07,2014-06-30T18:25:04,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-01,89.6,78.8,83,108.1,78.8,92.6,79,88.3,1.575,100,8.33,rain,,,,9.8,319,999.3,87.3,1.9,233.2,20.2,8,,2014-07-01T04:55:26,2014-07-01T18:25:08,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-07-02,89.6,80.6,83,108.1,88.1,94.1,79.7,90.3,0.748,100,8.33,rain,,,,6.9,226.1,998.6,86.4,1.7,205.8,17.8,7,,2014-07-02T04:55:46,2014-07-02T18:25:11,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-03,89.6,80.6,83.4,108.3,88.1,95.9,80.2,90.4,0.984,100,4.17,rain,,,,9.2,153.4,995.6,88.3,1.6,80.9,6.8,3,,2014-07-03T04:56:06,2014-07-03T18:25:12,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-04,82.4,80.6,81.3,94.1,88.1,89.9,79,92.9,0.118,100,4.17,rain,,,,10.3,228.3,996.2,86.2,1.7,110.1,9.5,3,,2014-07-04T04:56:27,2014-07-04T18:25:13,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-05,87.8,80.6,83.7,108.3,88.1,96.6,80,88.7,0,0,0,,,,,11.4,160.3,1000,80.4,1.8,222.2,19.2,7,,2014-07-05T04:56:48,2014-07-05T18:25:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-07-06,91.4,82.4,86.2,114.4,92.4,102.7,80.9,84.5,0.315,100,4.17,rain,,,,14.8,179.2,1002.7,57.9,1.9,248.5,21.5,8,,2014-07-06T04:57:10,2014-07-06T18:25:11,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-07,93.2,84.2,87.6,113.5,98.3,103.9,80.3,79.5,0,0,0,,,,,13.9,192,1001.5,64.6,2.3,252.8,21.8,8,,2014-07-07T04:57:32,2014-07-07T18:25:08,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-07-08,91.4,80.6,86.3,118.3,88.1,102.7,80.8,84.1,0.551,100,4.17,rain,,,,13.9,185.2,999,72.7,2.1,146.1,12.7,5,,2014-07-08T04:57:55,2014-07-08T18:25:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-09,95,84.2,87.9,119.7,98.3,106,81.3,81.3,0,0,0,,,,,10.3,159.8,998,64.1,2,228.9,19.8,8,,2014-07-09T04:58:18,2014-07-09T18:24:59,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-07-10,93.2,82.5,86.8,117.1,94.4,104.3,81.4,84.6,0.866,100,4.17,rain,,,,12.8,136.6,998.2,46.7,2.2,114.5,10,3,,2014-07-10T04:58:41,2014-07-10T18:24:52,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-11,93.2,80.6,85.9,113.5,88.1,101,80.5,84.7,0.039,100,4.17,rain,,,,10.2,92.7,998,62.5,2.4,266.7,23.3,9,,2014-07-11T04:59:05,2014-07-11T18:24:45,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-12,93.2,82.4,86.4,117,94.1,103.3,81.3,85.4,0.008,100,4.17,rain,,,,13.9,72.7,997,50,2.4,229.5,20.1,8,,2014-07-12T04:59:29,2014-07-12T18:24:36,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-13,91.4,82.3,85.7,114.4,93.9,101,80.4,84.6,0.465,100,12.5,rain,,,,19,89.4,998,82.4,2.4,192.2,16.6,6,,2014-07-13T04:59:53,2014-07-13T18:24:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-07-14,91.4,82.4,85.2,114.3,94.1,101.2,81.4,88.6,0.197,100,4.17,rain,,,,10.3,113.5,997.3,74.2,2.4,134.6,11.6,4,,2014-07-14T05:00:17,2014-07-14T18:24:15,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-07-15,91.4,82.4,84.9,114.4,94.1,100,81.1,88.6,0.118,100,4.17,rain,,,,12.8,103.5,997,71.2,2.4,195.3,17,6,,2014-07-15T05:00:42,2014-07-15T18:24:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-16,86,82.4,83.8,104.7,94.1,97.8,81,91.3,0.236,100,8.33,rain,,,,11.4,160.5,998.2,72.6,1.9,215.8,18.7,7,,2014-07-16T05:01:07,2014-07-16T18:23:50,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-17,91.4,82.4,84.7,110.9,94.1,98.9,80.6,87.8,0.591,100,4.17,rain,,,,12.8,161.2,998.4,80.1,2,187.8,16.2,7,,2014-07-17T05:01:32,2014-07-17T18:23:36,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-18,91.4,82.4,85.1,114.3,92.4,99.9,80.5,86.5,0.472,100,4.17,rain,,,,9.2,151.4,997.4,58.3,1.9,134.5,11.8,5,,2014-07-18T05:01:57,2014-07-18T18:23:20,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-19,91.4,82.4,86.6,111.4,94.1,103.1,81.1,84.2,0.118,100,4.17,rain,,,,9.2,89.4,995.1,67.9,1.9,79.4,6.8,2,,2014-07-19T05:02:22,2014-07-19T18:23:03,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-20,89.6,82.4,84.8,111.4,94.1,100.5,81.4,89.8,0.236,100,8.33,rain,,,,11.4,50.2,992.1,80.6,2,140.2,12.1,5,,2014-07-20T05:02:47,2014-07-20T18:22:45,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-21,86,80.6,82.7,101.9,88.1,93.4,79.3,89.6,0.551,100,12.5,rain,,,,14.5,128.3,992.5,75.8,2,237,20.5,7,,2014-07-21T05:03:12,2014-07-21T18:22:26,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-07-22,87.8,78.8,82.6,105.1,78.8,91.3,78.5,87.9,0.079,100,4.17,rain,,,,11.4,140.8,997.3,80.6,2.1,173.9,14.9,5,,2014-07-22T05:03:38,2014-07-22T18:22:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-23,91.4,80.6,83.3,107.8,88.1,94,79,87.1,0.157,100,4.17,rain,,,,8.1,121.4,999.7,69.7,2.1,135.1,11.6,5,,2014-07-23T05:04:03,2014-07-23T18:21:44,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-24,86.8,80.6,82.1,102,88.1,92.1,79.5,92,0.709,100,8.33,rain,,,,8,281.8,1000.2,80.5,1.7,200.9,17.3,7,,2014-07-24T05:04:28,2014-07-24T18:21:21,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-07-25,93.2,80.6,85.4,108.1,88.1,97.8,79,82.1,0,0,0,,,,,8.1,117.3,1000.5,71.1,1.9,235.1,20.3,8,,2014-07-25T05:04:54,2014-07-25T18:20:57,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VECC,42809099999"
west bengal,2014-07-26,93.2,80.6,86.1,110.9,88.2,100.3,79.6,81.3,0.024,100,4.17,rain,,,,13.9,76.5,1001.8,50.4,2.4,194.7,16.8,7,,2014-07-26T05:05:19,2014-07-26T18:20:32,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-27,89.6,82.4,84.7,108.1,92.4,98.7,80.1,86.1,0.197,100,4.17,rain,,,,12,84.3,1001.7,65.1,2.2,117.7,9.9,4,,2014-07-27T05:05:44,2014-07-27T18:20:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-28,89.6,80.6,83.8,108,88.1,96.2,79.9,88.6,0.039,100,4.17,rain,,,,13.9,60.7,999,76,2.1,215.2,18.7,7,,2014-07-28T05:06:10,2014-07-28T18:19:39,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-29,87.8,80.6,83.6,105.2,88.1,96.4,80.2,89.8,0.709,100,12.5,rain,,,,10.3,87.2,998,75.3,1.8,120.9,10.2,4,,2014-07-29T05:06:35,2014-07-29T18:19:11,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-30,91.4,82.4,84.4,114.3,92.4,98.4,80.4,87.9,0.669,100,4.17,rain,,,,12.6,95.6,998.9,68.3,2.2,211.5,18.2,7,,2014-07-30T05:07:00,2014-07-30T18:18:41,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-07-31,91.4,82.4,86.4,111.4,94.1,101.8,80.5,83.2,0,0,0,,,,,12.8,134.2,999.6,64.6,2.4,200.6,17.4,7,,2014-07-31T05:07:24,2014-07-31T18:18:11,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-08-01,93.2,82.4,87,113.5,94.1,103.3,80.7,82.2,0,0,0,,,,,10.3,138.1,999.3,60.2,2.2,139,12,5,,2014-08-01T05:07:49,2014-08-01T18:17:39,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-08-02,95,82.4,87.9,116.1,94.1,104.8,80.8,80.3,0,0,0,,,,,9.2,99.8,996.5,71.1,2.2,161.3,13.8,5,,2014-08-02T05:08:14,2014-08-02T18:17:07,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-08-03,87.8,80.5,83.4,105.1,87.9,95.5,79.8,89.2,0.693,100,16.67,rain,,,,14.8,24.7,992.8,73.9,2.2,181.2,15.7,6,,2014-08-03T05:08:38,2014-08-03T18:16:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-04,87.8,80.6,82.9,105.1,88.1,94.2,79.7,90.2,0.512,100,12.5,rain,,,,17.2,118.3,991.6,81.8,2.1,135.9,11.7,4,,2014-08-04T05:09:02,2014-08-04T18:15:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-05,91.4,78.8,84.9,110.9,78.8,97.7,79.7,85.1,1.185,100,12.5,rain,,,,17.2,161.9,997.3,87.5,2,172.9,14.8,5,,2014-08-05T05:09:27,2014-08-05T18:15:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-06,95,82.4,87,116,92.4,102,80.1,81.4,0.311,100,8.33,rain,,,,9.2,207.3,999.1,76.7,2.1,251.2,21.8,9,,2014-08-06T05:09:50,2014-08-06T18:14:46,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-07,93.2,82.4,84.7,110.4,92.4,97.6,79.9,86.3,0.197,100,4.17,rain,,,,11.3,200.5,998.8,76.2,1.8,146.8,12.7,5,,2014-08-07T05:10:14,2014-08-07T18:14:08,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-08,87.8,80.6,83.9,105.1,88.1,97,80.2,88.9,1.732,100,12.5,rain,,,,12.8,276.6,998.6,78,1.9,221.9,19,7,,2014-08-08T05:10:38,2014-08-08T18:13:29,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-09,89.6,80.6,83.5,108.3,88.1,96.1,80.3,90.3,0.197,100,4.17,rain,,,,11.4,130,999,81.1,2,245.1,21.1,8,,2014-08-09T05:11:01,2014-08-09T18:12:50,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-10,93.2,82.4,86.6,113.5,92.4,101.1,79.6,80.1,0,0,0,,,,,15,176,1001,59.8,2.3,227.8,19.6,7,,2014-08-10T05:11:24,2014-08-10T18:12:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-08-11,93.2,82.4,87,110.4,92.4,100.6,78.8,77.4,0,0,0,,,,,16.1,183.3,1001.2,57.2,2.4,296.6,25.7,9,,2014-08-11T05:11:47,2014-08-11T18:11:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41946099999,VECC,42809099999"
west bengal,2014-08-12,91.4,84.2,87.1,110.9,96.1,102.5,79.8,79.2,0.039,100,4.17,rain,,,,13.9,198.8,999.9,70,2,223,19.2,8,,2014-08-12T05:12:09,2014-08-12T18:10:45,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-13,91.4,80.6,84.6,111.4,87.1,98.3,80.1,86.9,0.354,100,4.17,rain,,,,11.4,200.8,999.8,83.9,1.9,199.9,17.3,7,,2014-08-13T05:12:32,2014-08-13T18:10:02,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-14,91.4,80.6,83.1,110.9,88.1,93.9,79.3,88.9,0.236,100,4.17,rain,,,,12.5,230.4,1000.5,90.4,1.8,77.8,6.8,3,,2014-08-14T05:12:54,2014-08-14T18:09:18,0.62,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-15,87.8,78.8,82.7,105.1,78.8,92.3,79.2,89.4,0.709,100,4.17,rain,,,,10.3,185.4,1002.7,92.2,1.6,146.7,12.7,5,,2014-08-15T05:13:16,2014-08-15T18:08:33,0.65,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-16,87.8,78.8,82,105.1,78.8,88.8,78.2,88.8,0.236,100,8.33,rain,,,,10.2,221.8,1003.3,92.8,1.9,80.2,6.9,3,,2014-08-16T05:13:38,2014-08-16T18:07:47,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-17,91.4,78.8,84.2,107.8,78.8,94.4,78.1,82.6,0.016,100,4.17,rain,,,,11.2,227.2,1003.5,89.5,2,115.8,9.9,4,,2014-08-17T05:13:59,2014-08-17T18:07:00,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-18,93.2,80.6,86.4,110.4,87.1,99.5,79,79.5,0.394,100,4.17,rain,,,,11.4,190,1005.6,56.9,1.8,263.3,22.8,8,,2014-08-18T05:14:20,2014-08-18T18:06:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41946099999,VECC,42809099999"
west bengal,2014-08-19,95,78.8,86,114.4,78.8,98.6,79.1,81,0.453,100,8.33,rain,,,,11.9,202.3,1006.3,69.1,2.1,181.7,15.7,6,,2014-08-19T05:14:41,2014-08-19T18:05:25,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41946099999,VECC,42809099999,remote"
west bengal,2014-08-20,89.6,77,83.8,108.3,77,95.5,79.6,87.8,0.248,100,8.33,rain,,,,9.2,189.4,1005,81.5,2.1,126.9,11,4,,2014-08-20T05:15:02,2014-08-20T18:04:36,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41946099999,VECC,42809099999"
